nome_veiculo,cod_veiculo,cod_marca,cod_veiculo_especifico
MARRUÁ AM 250 3.8 CD TDI Diesel (E6),10569,2,"[{'Label': '32000 Diesel', 'Value': '32000-3'}, {'Label': '2024 Diesel', 'Value': '2024-3'}, {'Label': '2023 Diesel', 'Value': '2023-3'}]"
MARRUÁ AM 250 3.8 CS TDI Die. Aut. (E6),10865,2,"[{'Label': '32000 Diesel', 'Value': '32000-3'}, {'Label': '2024 Diesel', 'Value': '2024-3'}, {'Label': '2023 Diesel', 'Value': '2023-3'}]"
MARRUÁ AM 250 3.8 CS TDI Diesel (E6),10866,2,"[{'Label': '32000 Diesel', 'Value': '32000-3'}, {'Label': '2024 Diesel', 'Value': '2024-3'}, {'Label': '2023 Diesel', 'Value': '2023-3'}]"
MARRUÁ AM 50 2.8 140cv TDI Diesel,4569,2,"[{'Label': '2011 Diesel', 'Value': '2011-3'}, {'Label': '2010 Diesel', 'Value': '2010-3'}, {'Label': '2009 Diesel', 'Value': '2009-3'}, {'Label': '2008 Diesel', 'Value': '2008-3'}]"
145 Elegant 1.7/1.8 16V,5,3,"[{'Label': '1999 Gasolina', 'Value': '1999-1'}, {'Label': '1998 Gasolina', 'Value': '1998-1'}, {'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}]"
145 Elegant 2.0 16V,6,3,"[{'Label': '1998 Gasolina', 'Value': '1998-1'}, {'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}, {'Label': '1995 Gasolina', 'Value': '1995-1'}]"
145 Quadrifoglio 2.0,7,3,"[{'Label': '1999 Gasolina', 'Value': '1999-1'}, {'Label': '1998 Gasolina', 'Value': '1998-1'}, {'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}]"
145 QV,8,3,"[{'Label': '1998 Gasolina', 'Value': '1998-1'}, {'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}]"
147 2.0 16V 148cv 4p Semi-Aut.,9,3,"[{'Label': '2005 Gasolina', 'Value': '2005-1'}, {'Label': '2004 Gasolina', 'Value': '2004-1'}, {'Label': '2003 Gasolina', 'Value': '2003-1'}]"
155,10,3,"[{'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}, {'Label': '1995 Gasolina', 'Value': '1995-1'}]"
155 Super,11,3,"[{'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}, {'Label': '1995 Gasolina', 'Value': '1995-1'}]"
