nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
A8 4.2 V8 32V Tiptronic,127,6,1997 Gasolina,1997-1,1997,Gasolina,1,"{'Valor': 'R$ 31.638,00', 'Marca': 'Audi', 'Modelo': 'A8 4.2 V8 32V Tiptronic', 'AnoModelo': 1997, 'Combustivel': 'Gasolina', 'CodigoFipe': '008014-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'p88wv7gd9pp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 4.2 V8 32V Tiptronic,127,6,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 28.391,00', 'Marca': 'Audi', 'Modelo': 'A8 4.2 V8 32V Tiptronic', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '008014-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'n16p3khkgyp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 4.2 V8 32V Tiptronic,127,6,1995 Gasolina,1995-1,1995,Gasolina,1,"{'Valor': 'R$ 27.698,00', 'Marca': 'Audi', 'Modelo': 'A8 4.2 V8 32V Tiptronic', 'AnoModelo': 1995, 'Combustivel': 'Gasolina', 'CodigoFipe': '008014-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ns2tplhf04p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 4.2 V8 32V Tiptronic,127,6,1994 Gasolina,1994-1,1994,Gasolina,1,"{'Valor': 'R$ 22.170,00', 'Marca': 'Audi', 'Modelo': 'A8 4.2 V8 32V Tiptronic', 'AnoModelo': 1994, 'Combustivel': 'Gasolina', 'CodigoFipe': '008014-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'lp8kmkf3php', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 6.0 W12 48V 450cv Quattro Tiptronic,3928,6,2006 Gasolina,2006-1,2006,Gasolina,1,"{'Valor': 'R$ 190.665,00', 'Marca': 'Audi', 'Modelo': 'A8 6.0 W12 48V 450cv Quattro Tiptronic', 'AnoModelo': 2006, 'Combustivel': 'Gasolina', 'CodigoFipe': '008115-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kjwflhs4zty1', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 6.3 W12 48V Quattro Tiptronic,5717,6,2017 Gasolina,2017-1,2017,Gasolina,1,"{'Valor': 'R$ 629.350,00', 'Marca': 'Audi', 'Modelo': 'A8 6.3 W12 48V Quattro Tiptronic', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '008156-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '2369hm64svc3j', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 6.3 W12 48V Quattro Tiptronic,5717,6,2016 Gasolina,2016-1,2016,Gasolina,1,"{'Valor': 'R$ 578.854,00', 'Marca': 'Audi', 'Modelo': 'A8 6.3 W12 48V Quattro Tiptronic', 'AnoModelo': 2016, 'Combustivel': 'Gasolina', 'CodigoFipe': '008156-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '060xt0rh6dcz9', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 6.3 W12 48V Quattro Tiptronic,5717,6,2015 Gasolina,2015-1,2015,Gasolina,1,"{'Valor': 'R$ 484.045,00', 'Marca': 'Audi', 'Modelo': 'A8 6.3 W12 48V Quattro Tiptronic', 'AnoModelo': 2015, 'Combustivel': 'Gasolina', 'CodigoFipe': '008156-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'xmvw7fycwqcw2', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 6.3 W12 48V Quattro Tiptronic,5717,6,2014 Gasolina,2014-1,2014,Gasolina,1,"{'Valor': 'R$ 443.487,00', 'Marca': 'Audi', 'Modelo': 'A8 6.3 W12 48V Quattro Tiptronic', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '008156-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'v29q8h6hjkcsv', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
A8 6.3 W12 48V Quattro Tiptronic,5717,6,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 410.530,00', 'Marca': 'Audi', 'Modelo': 'A8 6.3 W12 48V Quattro Tiptronic', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '008156-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'tvnvr6lnzhcpm', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:42'}"
