nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
F-1000 XL 2.5 HSD Diesel TB,741,22,1998 Diesel,1998-3,1998,Diesel,3,"{'Valor': 'R$ 79.601,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 2.5 HSD Diesel TB', 'AnoModelo': 1998, 'Combustivel': 'Diesel', 'CodigoFipe': '003167-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '9fmzs6gwk6cb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:41'}"
F-1000 XL 2.5 HSD Diesel TB,741,22,1997 Diesel,1997-3,1997,Diesel,3,"{'Valor': 'R$ 67.138,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 2.5 HSD Diesel TB', 'AnoModelo': 1997, 'Combustivel': 'Diesel', 'CodigoFipe': '003167-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '4qh160r6g0cb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:41'}"
F-1000 XL 2.5 HSD Diesel TB,741,22,1996 Diesel,1996-3,1996,Diesel,3,"{'Valor': 'R$ 47.651,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 2.5 HSD Diesel TB', 'AnoModelo': 1996, 'Combustivel': 'Diesel', 'CodigoFipe': '003167-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'xb039hcr5xcb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:41'}"
F-1000 XL 4.9i,742,22,1998 Gasolina,1998-1,1998,Gasolina,1,"{'Valor': 'R$ 39.227,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4.9i', 'AnoModelo': 1998, 'Combustivel': 'Gasolina', 'CodigoFipe': '003199-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 's478c2x8tvp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4.9i,742,22,1997 Gasolina,1997-1,1997,Gasolina,1,"{'Valor': 'R$ 36.481,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4.9i', 'AnoModelo': 1997, 'Combustivel': 'Gasolina', 'CodigoFipe': '003199-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'r315nv4vwxp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4.9i,742,22,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 25.995,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4.9i', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '003199-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'm43t1ks28lp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4.9i CE,743,22,1998 Gasolina,1998-1,1998,Gasolina,1,"{'Valor': 'R$ 39.613,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4.9i CE', 'AnoModelo': 1998, 'Combustivel': 'Gasolina', 'CodigoFipe': '003010-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 's9sknpvmvpp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4.9i CE,743,22,1997 Gasolina,1997-1,1997,Gasolina,1,"{'Valor': 'R$ 36.991,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4.9i CE', 'AnoModelo': 1997, 'Combustivel': 'Gasolina', 'CodigoFipe': '003010-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'r91j3zf8krp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4.9i CE,743,22,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 27.674,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4.9i CE', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '003010-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'nss28q5wpzp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4x4 Diesel Turbo,744,22,1998 Diesel,1998-3,1998,Diesel,3,"{'Valor': 'R$ 76.239,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4x4 Diesel Turbo', 'AnoModelo': 1998, 'Combustivel': 'Diesel', 'CodigoFipe': '003014-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '746z8n8lppcb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4x4 Diesel Turbo,744,22,1997 Diesel,1997-3,1997,Diesel,3,"{'Valor': 'R$ 65.506,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4x4 Diesel Turbo', 'AnoModelo': 1997, 'Combustivel': 'Diesel', 'CodigoFipe': '003014-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '33cwkn8k1jcb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
F-1000 XL 4x4 Diesel Turbo,744,22,1996 Diesel,1996-3,1996,Diesel,3,"{'Valor': 'R$ 44.396,00', 'Marca': 'Ford', 'Modelo': 'F-1000 XL 4x4 Diesel Turbo', 'AnoModelo': 1996, 'Combustivel': 'Diesel', 'CodigoFipe': '003014-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'v3v1dgf4gncb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:42'}"
