nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
S10 Blazer Executive 2.8 4x4 TDI Diesel,1128,23,2010 Diesel,2010-3,2010,Diesel,3,"{'Valor': 'R$ 73.718,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 2.8 4x4 TDI Diesel', 'AnoModelo': 2010, 'Combustivel': 'Diesel', 'CodigoFipe': '004244-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '66nprgkvy6cb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 2.8 4x4 TDI Diesel,1128,23,2009 Diesel,2009-3,2009,Diesel,3,"{'Valor': 'R$ 70.185,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 2.8 4x4 TDI Diesel', 'AnoModelo': 2009, 'Combustivel': 'Diesel', 'CodigoFipe': '004244-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '5v7kgl3pvb9c', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 2.8 4x4 TDI Diesel,1128,23,2008 Diesel,2008-3,2008,Diesel,3,"{'Valor': 'R$ 68.473,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 2.8 4x4 TDI Diesel', 'AnoModelo': 2008, 'Combustivel': 'Diesel', 'CodigoFipe': '004244-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '4649dqm83654', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 2.8 4x4 TDI Diesel,1128,23,2007 Diesel,2007-3,2007,Diesel,3,"{'Valor': 'R$ 66.600,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 2.8 4x4 TDI Diesel', 'AnoModelo': 2007, 'Combustivel': 'Diesel', 'CodigoFipe': '004244-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '4h6h8f6g032x', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 2.8 4x4 TDI Diesel,1128,23,2006 Diesel,2006-3,2006,Diesel,3,"{'Valor': 'R$ 64.975,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 2.8 4x4 TDI Diesel', 'AnoModelo': 2006, 'Combustivel': 'Diesel', 'CodigoFipe': '004244-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '3w4wg5jr60zp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 2.8 4x4 TDI Diesel,1128,23,2005 Diesel,2005-3,2005,Diesel,3,"{'Valor': 'R$ 63.390,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 2.8 4x4 TDI Diesel', 'AnoModelo': 2005, 'Combustivel': 'Diesel', 'CodigoFipe': '004244-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '29ksdntyycwg', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 2.8 4x4 TDI Diesel,1128,23,2004 Diesel,2004-3,2004,Diesel,3,"{'Valor': 'R$ 60.809,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 2.8 4x4 TDI Diesel', 'AnoModelo': 2004, 'Combustivel': 'Diesel', 'CodigoFipe': '004244-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '199nt0jbf2r7', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 4.3 V6,1129,23,2004 Gasolina,2004-1,2004,Gasolina,1,"{'Valor': 'R$ 42.278,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 4.3 V6', 'AnoModelo': 2004, 'Combustivel': 'Gasolina', 'CodigoFipe': '004091-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 't906pvrvwgrl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 4.3 V6,1129,23,2003 Gasolina,2003-1,2003,Gasolina,1,"{'Valor': 'R$ 41.246,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 4.3 V6', 'AnoModelo': 2003, 'Combustivel': 'Gasolina', 'CodigoFipe': '004091-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'txx3k3pj50nc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
S10 Blazer Executive 4.3 V6,1129,23,2002 Gasolina,2002-1,2002,Gasolina,1,"{'Valor': 'R$ 40.117,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'S10 Blazer Executive 4.3 V6', 'AnoModelo': 2002, 'Combustivel': 'Gasolina', 'CodigoFipe': '004091-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'thprhtk1yxj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:21'}"
