nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
CRUZE Sport LTZ 1.4 16V TB Flex 5p Aut.,7828,23,2017 Gasolina,2017-1,2017,Gasolina,1,"{'Valor': 'R$ 86.574,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'CRUZE Sport LTZ 1.4 16V TB Flex 5p Aut.', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '004479-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cc2dghj9dfs18', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:00'}"
CRUZE Sport Premier 1.4 16V TB Flex Aut.,8886,23,2022 Gasolina,2022-1,2022,Gasolina,1,"{'Valor': 'R$ 129.015,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'CRUZE Sport Premier 1.4 16V TB Flex Aut.', 'AnoModelo': 2022, 'Combustivel': 'Gasolina', 'CodigoFipe': '004510-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g6lm2z7sv0dmn', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:00'}"
CRUZE Sport Premier 1.4 16V TB Flex Aut.,8886,23,2021 Gasolina,2021-1,2021,Gasolina,1,"{'Valor': 'R$ 114.404,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'CRUZE Sport Premier 1.4 16V TB Flex Aut.', 'AnoModelo': 2021, 'Combustivel': 'Gasolina', 'CodigoFipe': '004510-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gngk113vhvdjf', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:00'}"
CRUZE Sport Premier 1.4 16V TB Flex Aut.,8886,23,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 110.201,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'CRUZE Sport Premier 1.4 16V TB Flex Aut.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '004510-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ghjs9nkgrkdd6', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:00'}"
CRUZE Sport RS 1.4 16V TB Flex 5p Aut.,9736,23,32000 Gasolina,32000-1,32000,Gasolina,1,"{'Valor': 'R$ 166.774,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'CRUZE Sport RS 1.4 16V TB Flex 5p Aut.', 'AnoModelo': 32000, 'Combustivel': 'Gasolina', 'CodigoFipe': '004536-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jmv18f4hpvp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:01'}"
CRUZE Sport RS 1.4 16V TB Flex 5p Aut.,9736,23,2023 Gasolina,2023-1,2023,Gasolina,1,"{'Valor': 'R$ 133.041,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'CRUZE Sport RS 1.4 16V TB Flex 5p Aut.', 'AnoModelo': 2023, 'Combustivel': 'Gasolina', 'CodigoFipe': '004536-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hb9zdw3bhwdqw', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:01'}"
CRUZE Sport RS 1.4 16V TB Flex 5p Aut.,9736,23,2022 Gasolina,2022-1,2022,Gasolina,1,"{'Valor': 'R$ 125.815,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'CRUZE Sport RS 1.4 16V TB Flex 5p Aut.', 'AnoModelo': 2022, 'Combustivel': 'Gasolina', 'CodigoFipe': '004536-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g2vbgtmj2bdmn', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:01'}"
D-10 CD Diesel,1070,23,1985 Diesel,1985-3,1985,Diesel,3,"{'Valor': 'R$ 20.198,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'D-10 CD Diesel', 'AnoModelo': 1985, 'Combustivel': 'Diesel', 'CodigoFipe': '004184-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ky4sz4hnjwwg', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:01'}"
D-10 Diesel,1071,23,1985 Diesel,1985-3,1985,Diesel,3,"{'Valor': 'R$ 20.122,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'D-10 Diesel', 'AnoModelo': 1985, 'Combustivel': 'Diesel', 'CodigoFipe': '004118-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kx75nr19kwwg', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:01'}"
D-20 4.0 Champ/Conquest/El Caminho Dies.,1072,23,1996 Diesel,1996-3,1996,Diesel,3,"{'Valor': 'R$ 78.477,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'D-20 4.0 Champ/Conquest/El Caminho Dies.', 'AnoModelo': 1996, 'Combustivel': 'Diesel', 'CodigoFipe': '004142-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '80gf143tk8zp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:01'}"
