nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Pampa 4x4 Jeep GL / L 1.6,842,22,1990 Gasolina,1990-1,1990,Gasolina,1,"{'Valor': 'R$ 7.407,00', 'Marca': 'Ford', 'Modelo': 'Pampa 4x4 Jeep GL / L 1.6', 'AnoModelo': 1990, 'Combustivel': 'Gasolina', 'CodigoFipe': '003058-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '7btnnslsc0c', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa 4x4 Jeep GL / L 1.6,842,22,1989 Gasolina,1989-1,1989,Gasolina,1,"{'Valor': 'R$ 7.034,00', 'Marca': 'Ford', 'Modelo': 'Pampa 4x4 Jeep GL / L 1.6', 'AnoModelo': 1989, 'Combustivel': 'Gasolina', 'CodigoFipe': '003058-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '5x2xnypqc2c', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa 4x4 Jeep GL / L 1.6,842,22,1988 Gasolina,1988-1,1988,Gasolina,1,"{'Valor': 'R$ 6.262,00', 'Marca': 'Ford', 'Modelo': 'Pampa 4x4 Jeep GL / L 1.6', 'AnoModelo': 1988, 'Combustivel': 'Gasolina', 'CodigoFipe': '003058-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '20kx3rl9ylc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa 4x4 Jeep GL / L 1.6,842,22,1987 Gasolina,1987-1,1987,Gasolina,1,"{'Valor': 'R$ 6.045,00', 'Marca': 'Ford', 'Modelo': 'Pampa 4x4 Jeep GL / L 1.6', 'AnoModelo': 1987, 'Combustivel': 'Gasolina', 'CodigoFipe': '003058-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1536h19wm8c', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa 4x4 Jeep GL / L 1.6,842,22,1986 Gasolina,1986-1,1986,Gasolina,1,"{'Valor': 'R$ 5.369,00', 'Marca': 'Ford', 'Modelo': 'Pampa 4x4 Jeep GL / L 1.6', 'AnoModelo': 1986, 'Combustivel': 'Gasolina', 'CodigoFipe': '003058-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zmv4tfcsymc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa 4x4 Jeep GL / L 1.6,842,22,1985 Gasolina,1985-1,1985,Gasolina,1,"{'Valor': 'R$ 4.541,00', 'Marca': 'Ford', 'Modelo': 'Pampa 4x4 Jeep GL / L 1.6', 'AnoModelo': 1985, 'Combustivel': 'Gasolina', 'CodigoFipe': '003058-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'whsmfdsy2tc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa Ghia 1.6/1.8/DUO,843,22,1995 Gasolina,1995-1,1995,Gasolina,1,"{'Valor': 'R$ 11.502,00', 'Marca': 'Ford', 'Modelo': 'Pampa Ghia 1.6/1.8/DUO', 'AnoModelo': 1995, 'Combustivel': 'Gasolina', 'CodigoFipe': '003137-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gn519x8hqmp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa Ghia 1.6/1.8/DUO,843,22,1995 Álcool,1995-2,1995,Álcool,2,"{'Valor': 'R$ 8.357,00', 'Marca': 'Ford', 'Modelo': 'Pampa Ghia 1.6/1.8/DUO', 'AnoModelo': 1995, 'Combustivel': 'Álcool', 'CodigoFipe': '003137-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cbx6mgwpkjqc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'Á', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa Ghia 1.6/1.8/DUO,843,22,1994 Gasolina,1994-1,1994,Gasolina,1,"{'Valor': 'R$ 10.978,00', 'Marca': 'Ford', 'Modelo': 'Pampa Ghia 1.6/1.8/DUO', 'AnoModelo': 1994, 'Combustivel': 'Gasolina', 'CodigoFipe': '003137-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gg1l3p7kr2p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
Pampa Ghia 1.6/1.8/DUO,843,22,1993 Gasolina,1993-1,1993,Gasolina,1,"{'Valor': 'R$ 9.635,00', 'Marca': 'Ford', 'Modelo': 'Pampa Ghia 1.6/1.8/DUO', 'AnoModelo': 1993, 'Combustivel': 'Gasolina', 'CodigoFipe': '003137-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'chr1rwcqs2bc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 18:09'}"
