nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
HR 2.5 TCI Diesel (RS/RD),1328,26,2008 Diesel,2008-3,2008,Diesel,3,"{'Valor': 'R$ 67.525,00', 'Marca': 'Hyundai', 'Modelo': 'HR 2.5 TCI Diesel (RS/RD)', 'AnoModelo': 2008, 'Combustivel': 'Diesel', 'CodigoFipe': '015065-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '4v1qrp6vnx54', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
HR 2.5 TCI Diesel (RS/RD),1328,26,2007 Diesel,2007-3,2007,Diesel,3,"{'Valor': 'R$ 64.520,00', 'Marca': 'Hyundai', 'Modelo': 'HR 2.5 TCI Diesel (RS/RD)', 'AnoModelo': 2007, 'Combustivel': 'Diesel', 'CodigoFipe': '015065-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '3qthq780j72x', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
HR 2.5 TCI Diesel (RS/RD),1328,26,2006 Diesel,2006-3,2006,Diesel,3,"{'Valor': 'R$ 57.528,00', 'Marca': 'Hyundai', 'Modelo': 'HR 2.5 TCI Diesel (RS/RD)', 'AnoModelo': 2006, 'Combustivel': 'Diesel', 'CodigoFipe': '015065-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '02t3zbkcshzp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
HR 2.5 TCI Diesel (RS/RD),1328,26,2005 Diesel,2005-3,2005,Diesel,3,"{'Valor': 'R$ 56.124,00', 'Marca': 'Hyundai', 'Modelo': 'HR 2.5 TCI Diesel (RS/RD)', 'AnoModelo': 2005, 'Combustivel': 'Diesel', 'CodigoFipe': '015065-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '0kcs929w41wg', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 1.6 16V Flex 5p Aut.,6356,26,2014 Gasolina,2014-1,2014,Gasolina,1,"{'Valor': 'R$ 58.256,00', 'Marca': 'Hyundai', 'Modelo': 'i30 1.6 16V Flex 5p Aut.', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '015098-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1ccqrsbxhhrl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 1.6 16V Flex 5p Aut.,6356,26,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 54.145,00', 'Marca': 'Hyundai', 'Modelo': 'i30 1.6 16V Flex 5p Aut.', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '015098-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zs5hts416fnc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 1.6 16V Flex 5p Aut.,6356,26,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 43.965,00', 'Marca': 'Hyundai', 'Modelo': 'i30 1.6 16V Flex 5p Aut.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '015098-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'vytc2ksj4hj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 1.8 16V Aut. 5p,6695,26,2016 Gasolina,2016-1,2016,Gasolina,1,"{'Valor': 'R$ 78.543,00', 'Marca': 'Hyundai', 'Modelo': 'i30 1.8 16V Aut. 5p', 'AnoModelo': 2016, 'Combustivel': 'Gasolina', 'CodigoFipe': '015106-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '807fqsdg42y1', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 1.8 16V Aut. 5p,6695,26,2015 Gasolina,2015-1,2015,Gasolina,1,"{'Valor': 'R$ 65.924,00', 'Marca': 'Hyundai', 'Modelo': 'i30 1.8 16V Aut. 5p', 'AnoModelo': 2015, 'Combustivel': 'Gasolina', 'CodigoFipe': '015106-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '378tdpbmzrvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 1.8 16V Aut. 5p,6695,26,2014 Gasolina,2014-1,2014,Gasolina,1,"{'Valor': 'R$ 58.958,00', 'Marca': 'Hyundai', 'Modelo': 'i30 1.8 16V Aut. 5p', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '015106-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1mlwldt016rl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 1.8 16V Aut. 5p,6695,26,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 54.328,00', 'Marca': 'Hyundai', 'Modelo': 'i30 1.8 16V Aut. 5p', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '015106-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zv90sn7g4fnc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 2.0 16V 145cv 5p Aut.,4925,26,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 43.745,00', 'Marca': 'Hyundai', 'Modelo': 'i30 2.0 16V 145cv 5p Aut.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '015071-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'vv7d6rx34qj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 2.0 16V 145cv 5p Aut.,4925,26,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 42.623,00', 'Marca': 'Hyundai', 'Modelo': 'i30 2.0 16V 145cv 5p Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '015071-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'vf2l0jpkrrfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
i30 2.0 16V 145cv 5p Aut.,4925,26,2010 Gasolina,2010-1,2010,Gasolina,1,"{'Valor': 'R$ 41.334,00', 'Marca': 'Hyundai', 'Modelo': 'i30 2.0 16V 145cv 5p Aut.', 'AnoModelo': 2010, 'Combustivel': 'Gasolina', 'CodigoFipe': '015071-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'tyy234qjdvp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 20:30'}"
