nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Sorento 3.5 V6 24V 4x2 Aut.,5251,31,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 63.363,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x2 Aut.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '018075-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '287y5vyg41j4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:24'}"
Sorento 3.5 V6 24V 4x2 Aut.,5251,31,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 57.500,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x2 Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '018075-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '02hyg7bbmdfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:24'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 182.608,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'j7fk92b9rbdd6', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:24'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2019 Gasolina,2019-1,2019,Gasolina,1,"{'Valor': 'R$ 158.154,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2019, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'h9rrmqn44xc9z', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:24'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2018 Gasolina,2018-1,2018,Gasolina,1,"{'Valor': 'R$ 142.259,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2018, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hp30vdd051c6r', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:24'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2015 Gasolina,2015-1,2015,Gasolina,1,"{'Valor': 'R$ 91.911,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2015, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cf2y9f8vfytvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:24'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2014 Gasolina,2014-1,2014,Gasolina,1,"{'Valor': 'R$ 89.669,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cd7pdldl0p6rl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:25'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 72.140,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '6l44j46dwync', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:25'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 63.703,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '3d7j4x4kp4j4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:25'}"
Sorento 3.5 V6 24V 4x4 Aut.,5252,31,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 61.150,00', 'Marca': 'Kia Motors', 'Modelo': 'Sorento 3.5 V6 24V 4x4 Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '018076-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '2f9l2h9nlcfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:25'}"
