nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Escort XR3 2.0i,708,22,1994 Gasolina,1994-1,1994,Gasolina,1,"{'Valor': 'R$ 15.158,00', 'Marca': 'Ford', 'Modelo': 'Escort XR3 2.0i', 'AnoModelo': 1994, 'Combustivel': 'Gasolina', 'CodigoFipe': '003040-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'h11xhyjkfwp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Escort XR3 2.0i,708,22,1993 Gasolina,1993-1,1993,Gasolina,1,"{'Valor': 'R$ 14.788,00', 'Marca': 'Ford', 'Modelo': 'Escort XR3 2.0i', 'AnoModelo': 1993, 'Combustivel': 'Gasolina', 'CodigoFipe': '003040-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hxqfh1l205p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Escort XR3 2.0i Conversível,709,22,1995 Gasolina,1995-1,1995,Gasolina,1,"{'Valor': 'R$ 28.575,00', 'Marca': 'Ford', 'Modelo': 'Escort XR3 2.0i Conversível', 'AnoModelo': 1995, 'Combustivel': 'Gasolina', 'CodigoFipe': '003041-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'n4clbxms3jp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Escort XR3 2.0i Conversível,709,22,1995 Álcool,1995-2,1995,Álcool,2,"{'Valor': 'R$ 15.759,00', 'Marca': 'Ford', 'Modelo': 'Escort XR3 2.0i Conversível', 'AnoModelo': 1995, 'Combustivel': 'Álcool', 'CodigoFipe': '003041-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'h83b9t312f0', 'TipoVeiculo': 1, 'SiglaCombustivel': 'Á', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Escort XR3 2.0i Conversível,709,22,1994 Gasolina,1994-1,1994,Gasolina,1,"{'Valor': 'R$ 27.789,00', 'Marca': 'Ford', 'Modelo': 'Escort XR3 2.0i Conversível', 'AnoModelo': 1994, 'Combustivel': 'Gasolina', 'CodigoFipe': '003041-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'nt4w1k2w5qp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Escort XR3 2.0i Conversível,709,22,1993 Gasolina,1993-1,1993,Gasolina,1,"{'Valor': 'R$ 23.183,00', 'Marca': 'Ford', 'Modelo': 'Escort XR3 2.0i Conversível', 'AnoModelo': 1993, 'Combustivel': 'Gasolina', 'CodigoFipe': '003041-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'l24rnxgpksp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Expedition 5.4 V8,710,22,1999 Gasolina,1999-1,1999,Gasolina,1,"{'Valor': 'R$ 48.986,00', 'Marca': 'Ford', 'Modelo': 'Expedition 5.4 V8', 'AnoModelo': 1999, 'Combustivel': 'Gasolina', 'CodigoFipe': '003154-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'xvpchdqc2bp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Expedition 5.4 V8,710,22,1998 Gasolina,1998-1,1998,Gasolina,1,"{'Valor': 'R$ 47.791,00', 'Marca': 'Ford', 'Modelo': 'Expedition 5.4 V8', 'AnoModelo': 1998, 'Combustivel': 'Gasolina', 'CodigoFipe': '003154-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'xdn0rpdzgkp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Expedition 5.4 V8,710,22,1997 Gasolina,1997-1,1997,Gasolina,1,"{'Valor': 'R$ 32.413,00', 'Marca': 'Ford', 'Modelo': 'Expedition 5.4 V8', 'AnoModelo': 1997, 'Combustivel': 'Gasolina', 'CodigoFipe': '003154-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'qlck7jypx6p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Explorer Limited 4.0 4x4 V6 213cv,711,22,2005 Gasolina,2005-1,2005,Gasolina,1,"{'Valor': 'R$ 54.052,00', 'Marca': 'Ford', 'Modelo': 'Explorer Limited 4.0 4x4 V6 213cv', 'AnoModelo': 2005, 'Combustivel': 'Gasolina', 'CodigoFipe': '003290-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zr2pygfm56p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Explorer Limited 5.0 4x4 V8,712,22,2001 Gasolina,2001-1,2001,Gasolina,1,"{'Valor': 'R$ 65.698,00', 'Marca': 'Ford', 'Modelo': 'Explorer Limited 5.0 4x4 V8', 'AnoModelo': 2001, 'Combustivel': 'Gasolina', 'CodigoFipe': '003138-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '35mnx5rhl1p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Explorer Limited 5.0 4x4 V8,712,22,2000 Gasolina,2000-1,2000,Gasolina,1,"{'Valor': 'R$ 64.095,00', 'Marca': 'Ford', 'Modelo': 'Explorer Limited 5.0 4x4 V8', 'AnoModelo': 2000, 'Combustivel': 'Gasolina', 'CodigoFipe': '003138-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '3kt01ctflgp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Explorer Limited 5.0 4x4 V8,712,22,1999 Gasolina,1999-1,1999,Gasolina,1,"{'Valor': 'R$ 38.127,00', 'Marca': 'Ford', 'Modelo': 'Explorer Limited 5.0 4x4 V8', 'AnoModelo': 1999, 'Combustivel': 'Gasolina', 'CodigoFipe': '003138-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'srcf192811p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Explorer Limited 5.0 4x4 V8,712,22,1998 Gasolina,1998-1,1998,Gasolina,1,"{'Valor': 'R$ 33.984,00', 'Marca': 'Ford', 'Modelo': 'Explorer Limited 5.0 4x4 V8', 'AnoModelo': 1998, 'Combustivel': 'Gasolina', 'CodigoFipe': '003138-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'q5slkxybbsp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
Explorer Sport 4.0 V6,713,22,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 25.053,00', 'Marca': 'Ford', 'Modelo': 'Explorer Sport 4.0 V6', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '003157-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ms2fz9k9htp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:37'}"
