nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Ipanema GLS/SLE 2.0EFI /SL/e1.8/Sol/Wave,1080,23,1990 Gasolina,1990-1,1990,Gasolina,1,"{'Valor': 'R$ 7.852,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'Ipanema GLS/SLE 2.0EFI /SL/e1.8/Sol/Wave', 'AnoModelo': 1990, 'Combustivel': 'Gasolina', 'CodigoFipe': '004040-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '80z26zcdh1p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
Ipanema GLS/SLE 2.0EFI /SL/e1.8/Sol/Wave,1080,23,1989 Gasolina,1989-1,1989,Gasolina,1,"{'Valor': 'R$ 5.962,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'Ipanema GLS/SLE 2.0EFI /SL/e1.8/Sol/Wave', 'AnoModelo': 1989, 'Combustivel': 'Gasolina', 'CodigoFipe': '004040-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1wdjb6s8rmp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
JOY Hatch 1.0 8V Black Edition Flex Mec.,8821,23,2021 Gasolina,2021-1,2021,Gasolina,1,"{'Valor': 'R$ 58.846,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'JOY Hatch 1.0 8V Black Edition Flex Mec.', 'AnoModelo': 2021, 'Combustivel': 'Gasolina', 'CodigoFipe': '004506-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1k85mh7hvtfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
JOY Hatch 1.0 8V Black Edition Flex Mec.,8821,23,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 54.547,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'JOY Hatch 1.0 8V Black Edition Flex Mec.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '004506-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zywmc6qc2fp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
JOY Hatch 1.0 8V Flex 5p Mec.,8822,23,2021 Gasolina,2021-1,2021,Gasolina,1,"{'Valor': 'R$ 59.206,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'JOY Hatch 1.0 8V Flex 5p Mec.', 'AnoModelo': 2021, 'Combustivel': 'Gasolina', 'CodigoFipe': '004505-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1qh0ygxjn4fx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
JOY Hatch 1.0 8V Flex 5p Mec.,8822,23,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 54.264,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'JOY Hatch 1.0 8V Flex 5p Mec.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '004505-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zvkrnxlnl1p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
JOY Plus 1.0 8V 4p Flex Mec.,8887,23,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 51.522,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'JOY Plus 1.0 8V 4p Flex Mec.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '004507-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ytd30wctckp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
JOY Plus Black Ed.1.0 8V 4p Flex Mec.,8888,23,2021 Gasolina,2021-1,2021,Gasolina,1,"{'Valor': 'R$ 59.838,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'JOY Plus Black Ed.1.0 8V 4p Flex Mec.', 'AnoModelo': 2021, 'Combustivel': 'Gasolina', 'CodigoFipe': '004508-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '1yxq1hd5q3fx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
JOY Plus Black Ed.1.0 8V 4p Flex Mec.,8888,23,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 53.719,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'JOY Plus Black Ed.1.0 8V 4p Flex Mec.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '004508-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zm5nvh04s5p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
Kadett GL 2.0 MPFI / EFI,1081,23,1998 Gasolina,1998-1,1998,Gasolina,1,"{'Valor': 'R$ 13.340,00', 'Marca': 'GM - Chevrolet', 'Modelo': 'Kadett GL 2.0 MPFI / EFI', 'AnoModelo': 1998, 'Combustivel': 'Gasolina', 'CodigoFipe': '004042-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hcq32ndxhm5h', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 19:04'}"
