nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Seville 4.6,259,10,1992 Gasolina,1992-1,1992,Gasolina,1,"{'Valor': 'R$ 41.463,00', 'Marca': 'Cadillac', 'Modelo': 'Seville 4.6', 'AnoModelo': 1992, 'Combustivel': 'Gasolina', 'CodigoFipe': '041002-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 't0gzm06hgvp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:16'}"
Seville 4.6,259,10,1991 Gasolina,1991-1,1991,Gasolina,1,"{'Valor': 'R$ 32.343,00', 'Marca': 'Cadillac', 'Modelo': 'Seville 4.6', 'AnoModelo': 1991, 'Combustivel': 'Gasolina', 'CodigoFipe': '041002-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'qkj4hsc0gvp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:16'}"
ARRIZO 6  PRO 1.5 Turbo Flex Aut.,9628,245,2023 Gasolina,2023-1,2023,Gasolina,1,"{'Valor': 'R$ 117.160,00', 'Marca': 'Caoa Chery', 'Modelo': 'ARRIZO 6  PRO 1.5 Turbo Flex Aut.', 'AnoModelo': 2023, 'Combustivel': 'Gasolina', 'CodigoFipe': '093003-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'grprdk6fgvdqw', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
ARRIZO 6  PRO 1.5 Turbo Flex Aut.,9628,245,2022 Gasolina,2022-1,2022,Gasolina,1,"{'Valor': 'R$ 105.621,00', 'Marca': 'Caoa Chery', 'Modelo': 'ARRIZO 6  PRO 1.5 Turbo Flex Aut.', 'AnoModelo': 2022, 'Combustivel': 'Gasolina', 'CodigoFipe': '093003-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'f95brvsyc7dmn', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
ARRIZO 6 PRO 1.5 Turbo (Híbrido),10133,245,32000 Gasolina,32000-1,32000,Gasolina,1,"{'Valor': 'R$ 140.645,00', 'Marca': 'Caoa Chery', 'Modelo': 'ARRIZO 6 PRO 1.5 Turbo (Híbrido)', 'AnoModelo': 32000, 'Combustivel': 'Gasolina', 'CodigoFipe': '093012-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hm7b78qns7j1f9', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
ARRIZO 6 PRO 1.5 Turbo (Híbrido),10133,245,2024 Gasolina,2024-1,2024,Gasolina,1,"{'Valor': 'R$ 125.521,00', 'Marca': 'Caoa Chery', 'Modelo': 'ARRIZO 6 PRO 1.5 Turbo (Híbrido)', 'AnoModelo': 2024, 'Combustivel': 'Gasolina', 'CodigoFipe': '093012-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g2hm6jtyt8dt3', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
ARRIZO 6 PRO 1.5 Turbo (Híbrido),10133,245,2023 Gasolina,2023-1,2023,Gasolina,1,"{'Valor': 'R$ 121.613,00', 'Marca': 'Caoa Chery', 'Modelo': 'ARRIZO 6 PRO 1.5 Turbo (Híbrido)', 'AnoModelo': 2023, 'Combustivel': 'Gasolina', 'CodigoFipe': '093012-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gxxlt9x2b7dqw', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
iCar EQ1 TECH (Elétrico),9862,245,32000 Gasolina,32000-1,32000,Gasolina,1,"{'Valor': 'R$ 119.990,00', 'Marca': 'Caoa Chery', 'Modelo': 'iCar EQ1 TECH (Elétrico)', 'AnoModelo': 32000, 'Combustivel': 'Gasolina', 'CodigoFipe': '093007-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gv0l3wbzbqp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
iCar EQ1 TECH (Elétrico),9862,245,2023 Gasolina,2023-1,2023,Gasolina,1,"{'Valor': 'R$ 93.563,00', 'Marca': 'Caoa Chery', 'Modelo': 'iCar EQ1 TECH (Elétrico)', 'AnoModelo': 2023, 'Combustivel': 'Gasolina', 'CodigoFipe': '093007-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cgqbrgnvryznc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
iCar EQ1 TECH (Elétrico),9862,245,2022 Gasolina,2022-1,2022,Gasolina,1,"{'Valor': 'R$ 90.845,00', 'Marca': 'Caoa Chery', 'Modelo': 'iCar EQ1 TECH (Elétrico)', 'AnoModelo': 2022, 'Combustivel': 'Gasolina', 'CodigoFipe': '093007-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cfpgt7pj2dlj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 15:17'}"
