nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Fiesta Street 1.0 8v 3p,792,22,2003 Gasolina,2003-1,2003,Gasolina,1,"{'Valor': 'R$ 10.961,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street 1.0 8v 3p', 'AnoModelo': 2003, 'Combustivel': 'Gasolina', 'CodigoFipe': '003229-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ggvfkpk1l0p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street 1.0 8v 3p,792,22,2002 Gasolina,2002-1,2002,Gasolina,1,"{'Valor': 'R$ 9.566,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street 1.0 8v 3p', 'AnoModelo': 2002, 'Combustivel': 'Gasolina', 'CodigoFipe': '003229-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'chhyy73k1jtc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street 1.0 8v 3p,792,22,2001 Gasolina,2001-1,2001,Gasolina,1,"{'Valor': 'R$ 8.088,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street 1.0 8v 3p', 'AnoModelo': 2001, 'Combustivel': 'Gasolina', 'CodigoFipe': '003229-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '9xnwqzbdfmc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street 1.6 8v 95cv 5p,793,22,2004 Gasolina,2004-1,2004,Gasolina,1,"{'Valor': 'R$ 13.657,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street 1.6 8v 95cv 5p', 'AnoModelo': 2004, 'Combustivel': 'Gasolina', 'CodigoFipe': '003256-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hhgbw55fsgp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street 1.6 8v 95cv 5p,793,22,2003 Gasolina,2003-1,2003,Gasolina,1,"{'Valor': 'R$ 12.626,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street 1.6 8v 95cv 5p', 'AnoModelo': 2003, 'Combustivel': 'Gasolina', 'CodigoFipe': '003256-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g3cl1q6zb4p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street 1.6 8v 95cv 5p,793,22,2002 Gasolina,2002-1,2002,Gasolina,1,"{'Valor': 'R$ 9.942,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street 1.6 8v 95cv 5p', 'AnoModelo': 2002, 'Combustivel': 'Gasolina', 'CodigoFipe': '003256-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cjx1l8r9wg2c', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street/ Action 1.0 8v 5p,794,22,2007 Gasolina,2007-1,2007,Gasolina,1,"{'Valor': 'R$ 16.615,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street/ Action 1.0 8v 5p', 'AnoModelo': 2007, 'Combustivel': 'Gasolina', 'CodigoFipe': '003244-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jl4hbs8sx7p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street/ Action 1.0 8v 5p,794,22,2006 Gasolina,2006-1,2006,Gasolina,1,"{'Valor': 'R$ 13.664,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street/ Action 1.0 8v 5p', 'AnoModelo': 2006, 'Combustivel': 'Gasolina', 'CodigoFipe': '003244-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hhjwr71p07p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street/ Action 1.0 8v 5p,794,22,2005 Gasolina,2005-1,2005,Gasolina,1,"{'Valor': 'R$ 13.330,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street/ Action 1.0 8v 5p', 'AnoModelo': 2005, 'Combustivel': 'Gasolina', 'CodigoFipe': '003244-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hcmhdylq3bp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
Fiesta Street/ Action 1.0 8v 5p,794,22,2004 Gasolina,2004-1,2004,Gasolina,1,"{'Valor': 'R$ 12.635,00', 'Marca': 'Ford', 'Modelo': 'Fiesta Street/ Action 1.0 8v 5p', 'AnoModelo': 2004, 'Combustivel': 'Gasolina', 'CodigoFipe': '003244-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g3gwgdbx36p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 17:51'}"
