nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
306 XS 1.6 3p/ ST 1.8i 4p,1893,44,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 6.449,00', 'Marca': 'Peugeot', 'Modelo': '306 XS 1.6 3p/ ST 1.8i 4p', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '024007-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '3qhmcvz1tdp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
306 XS 1.6 3p/ ST 1.8i 4p,1893,44,1995 Gasolina,1995-1,1995,Gasolina,1,"{'Valor': 'R$ 6.291,00', 'Marca': 'Peugeot', 'Modelo': '306 XS 1.6 3p/ ST 1.8i 4p', 'AnoModelo': 1995, 'Combustivel': 'Gasolina', 'CodigoFipe': '024007-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '23zbmtxgvjp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
306 XSi 2.0 3/5p,1894,44,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 6.610,00', 'Marca': 'Peugeot', 'Modelo': '306 XSi 2.0 3/5p', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '024008-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '4bcs4qtc2np', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
306 XSi 2.0 3/5p,1894,44,1995 Gasolina,1995-1,1995,Gasolina,1,"{'Valor': 'R$ 6.130,00', 'Marca': 'Peugeot', 'Modelo': '306 XSi 2.0 3/5p', 'AnoModelo': 1995, 'Combustivel': 'Gasolina', 'CodigoFipe': '024008-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '2h24vy3tdfp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
306 XSi 2.0 3/5p,1894,44,1994 Gasolina,1994-1,1994,Gasolina,1,"{'Valor': 'R$ 5.543,00', 'Marca': 'Peugeot', 'Modelo': '306 XSi 2.0 3/5p', 'AnoModelo': 1994, 'Combustivel': 'Gasolina', 'CodigoFipe': '024008-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'z88k88mq0mp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
307 CC 2.0 16V 138cv 2p Mec.,1896,44,2005 Gasolina,2005-1,2005,Gasolina,1,"{'Valor': 'R$ 40.403,00', 'Marca': 'Peugeot', 'Modelo': '307 CC 2.0 16V 138cv 2p Mec.', 'AnoModelo': 2005, 'Combustivel': 'Gasolina', 'CodigoFipe': '024110-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'tl1p00w3czvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
307 CC 2.0 16V 2p Aut.,1895,44,2008 Gasolina,2008-1,2008,Gasolina,1,"{'Valor': 'R$ 68.690,00', 'Marca': 'Peugeot', 'Modelo': '307 CC 2.0 16V 2p Aut.', 'AnoModelo': 2008, 'Combustivel': 'Gasolina', 'CodigoFipe': '024111-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '49p5gmdwc45h', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
307 CC 2.0 16V 2p Aut.,1895,44,2007 Gasolina,2007-1,2007,Gasolina,1,"{'Valor': 'R$ 67.014,00', 'Marca': 'Peugeot', 'Modelo': '307 CC 2.0 16V 2p Aut.', 'AnoModelo': 2007, 'Combustivel': 'Gasolina', 'CodigoFipe': '024111-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '4n1z1bdy4t18', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
307 CC 2.0 16V 2p Aut.,1895,44,2006 Gasolina,2006-1,2006,Gasolina,1,"{'Valor': 'R$ 65.379,00', 'Marca': 'Peugeot', 'Modelo': '307 CC 2.0 16V 2p Aut.', 'AnoModelo': 2006, 'Combustivel': 'Gasolina', 'CodigoFipe': '024111-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '31wqk3hsp3y1', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
307 CC 2.0 16V 2p Aut.,1895,44,2005 Gasolina,2005-1,2005,Gasolina,1,"{'Valor': 'R$ 53.168,00', 'Marca': 'Peugeot', 'Modelo': '307 CC 2.0 16V 2p Aut.', 'AnoModelo': 2005, 'Combustivel': 'Gasolina', 'CodigoFipe': '024111-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'zfqdd22lylvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:48'}"
