nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Pajero HPE Full 3.8 V6 250cv 3p Aut.,4334,41,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 83.106,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 3p Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '022099-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cbrqylp30mrfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 3p Aut.,4334,41,2010 Gasolina,2010-1,2010,Gasolina,1,"{'Valor': 'R$ 75.407,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 3p Aut.', 'AnoModelo': 2010, 'Combustivel': 'Gasolina', 'CodigoFipe': '022099-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '7vglnpndqzp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 3p Aut.,4334,41,2009 Gasolina,2009-1,2009,Gasolina,1,"{'Valor': 'R$ 73.567,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 3p Aut.', 'AnoModelo': 2009, 'Combustivel': 'Gasolina', 'CodigoFipe': '022099-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '64wtb39j958q', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 3p Aut.,4334,41,2008 Gasolina,2008-1,2008,Gasolina,1,"{'Valor': 'R$ 68.999,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 3p Aut.', 'AnoModelo': 2008, 'Combustivel': 'Gasolina', 'CodigoFipe': '022099-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '5fbg4ndjqd5h', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 5p Aut.,4335,41,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 247.827,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 5p Aut.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '022100-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'mpw26qvhmpdd6', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 5p Aut.,4335,41,2019 Gasolina,2019-1,2019,Gasolina,1,"{'Valor': 'R$ 214.402,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 5p Aut.', 'AnoModelo': 2019, 'Combustivel': 'Gasolina', 'CodigoFipe': '022100-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'lfp6df0642c9z', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 5p Aut.,4335,41,2018 Gasolina,2018-1,2018,Gasolina,1,"{'Valor': 'R$ 183.965,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 5p Aut.', 'AnoModelo': 2018, 'Combustivel': 'Gasolina', 'CodigoFipe': '022100-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'j80w99pwync6r', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 5p Aut.,4335,41,2017 Gasolina,2017-1,2017,Gasolina,1,"{'Valor': 'R$ 178.015,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 5p Aut.', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '022100-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'j11m35vs9pc3j', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 5p Aut.,4335,41,2016 Gasolina,2016-1,2016,Gasolina,1,"{'Valor': 'R$ 145.497,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 5p Aut.', 'AnoModelo': 2016, 'Combustivel': 'Gasolina', 'CodigoFipe': '022100-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'htxp8ww2l6cz9', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
Pajero HPE Full 3.8 V6 250cv 5p Aut.,4335,41,2015 Gasolina,2015-1,2015,Gasolina,1,"{'Valor': 'R$ 137.593,00', 'Marca': 'Mitsubishi', 'Modelo': 'Pajero HPE Full 3.8 V6 250cv 5p Aut.', 'AnoModelo': 2015, 'Combustivel': 'Gasolina', 'CodigoFipe': '022100-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hjnfdnl1qqcw2', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:07'}"
