nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
307 Sed. Presence 2.0 Flex 16V 5p Aut.,4987,44,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 25.400,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed. Presence 2.0 Flex 16V 5p Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '024161-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'mx4kvb980vfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Sed. Presence 2.0 Flex 16V 5p Aut.,4987,44,2010 Gasolina,2010-1,2010,Gasolina,1,"{'Valor': 'R$ 24.780,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed. Presence 2.0 Flex 16V 5p Aut.', 'AnoModelo': 2010, 'Combustivel': 'Gasolina', 'CodigoFipe': '024161-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'mpv6ywc0svp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Sed. Presence 2.0 Flex 16V 5p Aut.,4987,44,2009 Gasolina,2009-1,2009,Gasolina,1,"{'Valor': 'R$ 21.630,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed. Presence 2.0 Flex 16V 5p Aut.', 'AnoModelo': 2009, 'Combustivel': 'Gasolina', 'CodigoFipe': '024161-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'lhx84rgbhr8q', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut,4145,44,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 26.227,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '024128-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'm7t43q1nkyfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut,4145,44,2010 Gasolina,2010-1,2010,Gasolina,1,"{'Valor': 'R$ 24.662,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut', 'AnoModelo': 2010, 'Combustivel': 'Gasolina', 'CodigoFipe': '024128-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'mnhbc3tskjp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut,4145,44,2009 Gasolina,2009-1,2009,Gasolina,1,"{'Valor': 'R$ 22.362,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut', 'AnoModelo': 2009, 'Combustivel': 'Gasolina', 'CodigoFipe': '024128-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'lsjbz5c61j8q', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut,4145,44,2008 Gasolina,2008-1,2008,Gasolina,1,"{'Valor': 'R$ 20.859,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut', 'AnoModelo': 2008, 'Combustivel': 'Gasolina', 'CodigoFipe': '024128-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'k6w1vsvwb35h', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut,4145,44,2007 Gasolina,2007-1,2007,Gasolina,1,"{'Valor': 'R$ 18.171,00', 'Marca': 'Peugeot', 'Modelo': '307 Sed.Feline/Griff 2.0/2.0 Flex 4p Aut', 'AnoModelo': 2007, 'Combustivel': 'Gasolina', 'CodigoFipe': '024128-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'j6c1nm8lpk18', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 29.244,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'pc6rbm1dvzj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 26.348,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'm874g8mxfwfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2010 Gasolina,2010-1,2010,Gasolina,1,"{'Valor': 'R$ 24.803,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2010, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'mp4k3jwzppp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2009 Gasolina,2009-1,2009,Gasolina,1,"{'Valor': 'R$ 22.817,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2009, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'lyvqq0ffvb8q', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2008 Gasolina,2008-1,2008,Gasolina,1,"{'Valor': 'R$ 19.362,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2008, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'knbx93nb725h', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2007 Gasolina,2007-1,2007,Gasolina,1,"{'Valor': 'R$ 15.842,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2007, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'h92jh2s6kb18', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2006 Gasolina,2006-1,2006,Gasolina,1,"{'Valor': 'R$ 14.843,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2006, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hycd61tvj6y1', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2005 Gasolina,2005-1,2005,Gasolina,1,"{'Valor': 'R$ 14.103,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2005, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hnpf67zxqvvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2004 Gasolina,2004-1,2004,Gasolina,1,"{'Valor': 'R$ 13.759,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2004, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hjnd5z9g5crl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2003 Gasolina,2003-1,2003,Gasolina,1,"{'Valor': 'R$ 13.320,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2003, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hchvqstklknc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2002 Gasolina,2002-1,2002,Gasolina,1,"{'Valor': 'R$ 12.563,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2002, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g2mp5zv69gj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 Soleil/ Presence 1.6/1.6 Flex 16V 5p,1903,44,2001 Gasolina,2001-1,2001,Gasolina,1,"{'Valor': 'R$ 10.927,00', 'Marca': 'Peugeot', 'Modelo': '307 Soleil/ Presence 1.6/1.6 Flex 16V 5p', 'AnoModelo': 2001, 'Combustivel': 'Gasolina', 'CodigoFipe': '024090-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ggf2ggt6llfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 SW 2.0 16V 138cv 5p Mec.,1905,44,2005 Gasolina,2005-1,2005,Gasolina,1,"{'Valor': 'R$ 14.654,00', 'Marca': 'Peugeot', 'Modelo': '307 SW 2.0 16V 138cv 5p Mec.', 'AnoModelo': 2005, 'Combustivel': 'Gasolina', 'CodigoFipe': '024097-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hv4qnfcsv7vt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
307 SW 2.0 16V 138cv 5p Mec.,1905,44,2004 Gasolina,2004-1,2004,Gasolina,1,"{'Valor': 'R$ 14.296,00', 'Marca': 'Peugeot', 'Modelo': '307 SW 2.0 16V 138cv 5p Mec.', 'AnoModelo': 2004, 'Combustivel': 'Gasolina', 'CodigoFipe': '024097-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hqylv1yhmhrl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:50'}"
