nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Magentis EX 2.0 16V Aut.,4121,31,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 32.263,00', 'Marca': 'Kia Motors', 'Modelo': 'Magentis EX 2.0 16V Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '018039-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'qjl1283kn9fx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
Magentis EX 2.0 16V Aut.,4121,31,2010 Gasolina,2010-1,2010,Gasolina,1,"{'Valor': 'R$ 31.476,00', 'Marca': 'Kia Motors', 'Modelo': 'Magentis EX 2.0 16V Aut.', 'AnoModelo': 2010, 'Combustivel': 'Gasolina', 'CodigoFipe': '018039-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'p7c0jnfthcp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
Magentis EX 2.0 16V Aut.,4121,31,2009 Gasolina,2009-1,2009,Gasolina,1,"{'Valor': 'R$ 29.437,00', 'Marca': 'Kia Motors', 'Modelo': 'Magentis EX 2.0 16V Aut.', 'AnoModelo': 2009, 'Combustivel': 'Gasolina', 'CodigoFipe': '018039-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'pggwzjdcpg8q', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
Magentis EX 2.0 16V Aut.,4121,31,2008 Gasolina,2008-1,2008,Gasolina,1,"{'Valor': 'R$ 28.719,00', 'Marca': 'Kia Motors', 'Modelo': 'Magentis EX 2.0 16V Aut.', 'AnoModelo': 2008, 'Combustivel': 'Gasolina', 'CodigoFipe': '018039-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'n51xv582nn5h', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
Magentis EX 2.0 16V Aut.,4121,31,2007 Gasolina,2007-1,2007,Gasolina,1,"{'Valor': 'R$ 26.546,00', 'Marca': 'Kia Motors', 'Modelo': 'Magentis EX 2.0 16V Aut.', 'AnoModelo': 2007, 'Combustivel': 'Gasolina', 'CodigoFipe': '018039-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'nck3gml3k518', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
Magentis EX 2.0 16V Aut.,4121,31,2006 Gasolina,2006-1,2006,Gasolina,1,"{'Valor': 'R$ 25.898,00', 'Marca': 'Kia Motors', 'Modelo': 'Magentis EX 2.0 16V Aut.', 'AnoModelo': 2006, 'Combustivel': 'Gasolina', 'CodigoFipe': '018039-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'm3zk2w53zny1', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
Magentis LX 2.0 16V Aut,4425,31,2007 Gasolina,2007-1,2007,Gasolina,1,"{'Valor': 'R$ 22.454,00', 'Marca': 'Kia Motors', 'Modelo': 'Magentis LX 2.0 16V Aut', 'AnoModelo': 2007, 'Combustivel': 'Gasolina', 'CodigoFipe': '018062-9', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ltlsl73kmm18', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.,4891,31,2017 Diesel,2017-3,2017,Diesel,3,"{'Valor': 'R$ 184.606,00', 'Marca': 'Kia Motors', 'Modelo': 'MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.', 'AnoModelo': 2017, 'Combustivel': 'Diesel', 'CodigoFipe': '018069-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'j9r6k2h5c1c35', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:21'}"
MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.,4891,31,2016 Diesel,2016-3,2016,Diesel,3,"{'Valor': 'R$ 135.098,00', 'Marca': 'Kia Motors', 'Modelo': 'MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.', 'AnoModelo': 2016, 'Combustivel': 'Diesel', 'CodigoFipe': '018069-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hfqq4qp1djc0y', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:22'}"
MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.,4891,31,2015 Diesel,2015-3,2015,Diesel,3,"{'Valor': 'R$ 125.917,00', 'Marca': 'Kia Motors', 'Modelo': 'MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.', 'AnoModelo': 2015, 'Combustivel': 'Diesel', 'CodigoFipe': '018069-6', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g2y1dly3zycxq', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'terça-feira, 27 de agosto de 2024 16:22'}"
