nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
OUTLANDER 2.2 165cv Diesel Aut.,7265,41,2016 Diesel,2016-3,2016,Diesel,3,"{'Valor': 'R$ 122.664,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 2.2 165cv Diesel Aut.', 'AnoModelo': 2016, 'Combustivel': 'Diesel', 'CodigoFipe': '022139-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gy4s15f581c0y', 'TipoVeiculo': 1, 'SiglaCombustivel': 'D', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:00'}"
OUTLANDER 2.4 16V 170cv Aut.,4813,41,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 47.687,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 2.4 16V 170cv Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '022108-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'xcf6xz01dmfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:00'}"
OUTLANDER 2.4 16V 170cv Aut.,4813,41,2010 Gasolina,2010-1,2010,Gasolina,1,"{'Valor': 'R$ 45.310,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 2.4 16V 170cv Aut.', 'AnoModelo': 2010, 'Combustivel': 'Gasolina', 'CodigoFipe': '022108-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'wgk7yc07l7p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:00'}"
OUTLANDER 2.4 16V 170cv Aut.,4813,41,2009 Gasolina,2009-1,2009,Gasolina,1,"{'Valor': 'R$ 41.701,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 2.4 16V 170cv Aut.', 'AnoModelo': 2009, 'Combustivel': 'Gasolina', 'CodigoFipe': '022108-2', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 't28g944pg38q', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:00'}"
OUTLANDER 3.0/ GT 3.0 V6 Aut.,4411,41,2018 Gasolina,2018-1,2018,Gasolina,1,"{'Valor': 'R$ 127.043,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 3.0/ GT 3.0 V6 Aut.', 'AnoModelo': 2018, 'Combustivel': 'Gasolina', 'CodigoFipe': '022101-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g38y34phwqc6r', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:00'}"
OUTLANDER 3.0/ GT 3.0 V6 Aut.,4411,41,2017 Gasolina,2017-1,2017,Gasolina,1,"{'Valor': 'R$ 121.790,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 3.0/ GT 3.0 V6 Aut.', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '022101-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gx308t25hhc3j', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:01'}"
OUTLANDER 3.0/ GT 3.0 V6 Aut.,4411,41,2016 Gasolina,2016-1,2016,Gasolina,1,"{'Valor': 'R$ 103.743,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 3.0/ GT 3.0 V6 Aut.', 'AnoModelo': 2016, 'Combustivel': 'Gasolina', 'CodigoFipe': '022101-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'f7y2qcjjgxcz9', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:01'}"
OUTLANDER 3.0/ GT 3.0 V6 Aut.,4411,41,2015 Gasolina,2015-1,2015,Gasolina,1,"{'Valor': 'R$ 84.254,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 3.0/ GT 3.0 V6 Aut.', 'AnoModelo': 2015, 'Combustivel': 'Gasolina', 'CodigoFipe': '022101-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cb556rln5zsvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:01'}"
OUTLANDER 3.0/ GT 3.0 V6 Aut.,4411,41,2014 Gasolina,2014-1,2014,Gasolina,1,"{'Valor': 'R$ 78.422,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 3.0/ GT 3.0 V6 Aut.', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '022101-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '8ztgb2w9l4rl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:01'}"
OUTLANDER 3.0/ GT 3.0 V6 Aut.,4411,41,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 64.223,00', 'Marca': 'Mitsubishi', 'Modelo': 'OUTLANDER 3.0/ GT 3.0 V6 Aut.', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '022101-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '3mbj8yrwgznc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 01:01'}"
