nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
COOPER Country. John Works ALL4 2.0 Aut.,8131,156,2018 Gasolina,2018-1,2018,Gasolina,1,"{'Valor': 'R$ 160.261,00', 'Marca': 'MINI', 'Modelo': 'COOPER Country. John Works ALL4 2.0 Aut.', 'AnoModelo': 2018, 'Combustivel': 'Gasolina', 'CodigoFipe': '071041-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jc7bp1q03hc6r', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:41'}"
COOPER Country. John Works ALL4 2.0 Aut.,8131,156,2017 Gasolina,2017-1,2017,Gasolina,1,"{'Valor': 'R$ 154.438,00', 'Marca': 'MINI', 'Modelo': 'COOPER Country. John Works ALL4 2.0 Aut.', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '071041-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'h5dply2dp2c3j', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:41'}"
COOPER Countryman 1.5 Turbo Aut.,7906,156,2022 Gasolina,2022-1,2022,Gasolina,1,"{'Valor': 'R$ 200.579,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.5 Turbo Aut.', 'AnoModelo': 2022, 'Combustivel': 'Gasolina', 'CodigoFipe': '071037-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kxhr7xgtqzdmn', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:41'}"
COOPER Countryman 1.5 Turbo Aut.,7906,156,2021 Gasolina,2021-1,2021,Gasolina,1,"{'Valor': 'R$ 195.525,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.5 Turbo Aut.', 'AnoModelo': 2021, 'Combustivel': 'Gasolina', 'CodigoFipe': '071037-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kqk2mkj7wgdjf', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:41'}"
COOPER Countryman 1.5 Turbo Aut.,7906,156,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 141.901,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.5 Turbo Aut.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '071037-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hpp0gnvtbkdd6', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:41'}"
COOPER Countryman 1.5 Turbo Aut.,7906,156,2019 Gasolina,2019-1,2019,Gasolina,1,"{'Valor': 'R$ 118.283,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.5 Turbo Aut.', 'AnoModelo': 2019, 'Combustivel': 'Gasolina', 'CodigoFipe': '071037-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gs0krbb2ymc9z', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:41'}"
COOPER Countryman 1.5 Turbo Aut.,7906,156,2018 Gasolina,2018-1,2018,Gasolina,1,"{'Valor': 'R$ 105.384,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.5 Turbo Aut.', 'AnoModelo': 2018, 'Combustivel': 'Gasolina', 'CodigoFipe': '071037-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'f9wqqk2c12c6r', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman 1.5 Turbo Aut.,7906,156,2017 Gasolina,2017-1,2017,Gasolina,1,"{'Valor': 'R$ 102.813,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.5 Turbo Aut.', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '071037-7', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'f6v8t0cgn3c3j', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman 1.6 Aut.,5501,156,2014 Gasolina,2014-1,2014,Gasolina,1,"{'Valor': 'R$ 86.090,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.6 Aut.', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '071010-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ccwqjz0p7k6rl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman 1.6 Aut.,5501,156,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 78.938,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.6 Aut.', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '071010-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '85v0dz31pnnc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman 1.6 Aut.,5501,156,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 71.648,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.6 Aut.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '071010-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '6fc9xcdygvj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman 1.6 Aut.,5501,156,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 69.900,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman 1.6 Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '071010-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '5rwy6wg08xfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 1.6 Aut.,5502,156,2016 Gasolina,2016-1,2016,Gasolina,1,"{'Valor': 'R$ 102.247,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 1.6 Aut.', 'AnoModelo': 2016, 'Combustivel': 'Gasolina', 'CodigoFipe': '071009-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'f56p2x8vd4cz9', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 1.6 Aut.,5502,156,2015 Gasolina,2015-1,2015,Gasolina,1,"{'Valor': 'R$ 92.739,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 1.6 Aut.', 'AnoModelo': 2015, 'Combustivel': 'Gasolina', 'CodigoFipe': '071009-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cgdn7zzv92wvt', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 1.6 Aut.,5502,156,2014 Gasolina,2014-1,2014,Gasolina,1,"{'Valor': 'R$ 86.861,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 1.6 Aut.', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '071009-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cc5rr8ydgltrl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 1.6 Aut.,5502,156,2013 Gasolina,2013-1,2013,Gasolina,1,"{'Valor': 'R$ 81.021,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 1.6 Aut.', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '071009-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '9y83q2ms3wnc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 1.6 Aut.,5502,156,2012 Gasolina,2012-1,2012,Gasolina,1,"{'Valor': 'R$ 78.985,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 1.6 Aut.', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '071009-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '86d2ztyw3hj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 1.6 Aut.,5502,156,2011 Gasolina,2011-1,2011,Gasolina,1,"{'Valor': 'R$ 73.148,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 1.6 Aut.', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '071009-1', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '6zzh7vksd1fx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 2.0 Turbo Aut.,7907,156,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 186.854,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 2.0 Turbo Aut.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '071038-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kddxjf4j0bdd6', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 2.0 Turbo Aut.,7907,156,2019 Gasolina,2019-1,2019,Gasolina,1,"{'Valor': 'R$ 136.562,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 2.0 Turbo Aut.', 'AnoModelo': 2019, 'Combustivel': 'Gasolina', 'CodigoFipe': '071038-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hhfyqfdlk5c9z', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 2.0 Turbo Aut.,7907,156,2018 Gasolina,2018-1,2018,Gasolina,1,"{'Valor': 'R$ 131.525,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 2.0 Turbo Aut.', 'AnoModelo': 2018, 'Combustivel': 'Gasolina', 'CodigoFipe': '071038-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g9jv7v842fc6r', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
COOPER Countryman S 2.0 Turbo Aut.,7907,156,2017 Gasolina,2017-1,2017,Gasolina,1,"{'Valor': 'R$ 127.613,00', 'Marca': 'MINI', 'Modelo': 'COOPER Countryman S 2.0 Turbo Aut.', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '071038-5', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g4ypcx4jpbc3j', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:42'}"
