nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
Eclipse Cross GLS RUSH 1.5 16V 165cv Aut,10970,41,32000 Gasolina,32000-1,32000,Gasolina,1,"{'Valor': 'R$ 165.985,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross GLS RUSH 1.5 16V 165cv Aut', 'AnoModelo': 32000, 'Combustivel': 'Gasolina', 'CodigoFipe': '022205-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jlyc726rmyj1f9', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross GLS RUSH 1.5 16V 165cv Aut,10970,41,2025 Gasolina,2025-1,2025,Gasolina,1,"{'Valor': 'R$ 160.865,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross GLS RUSH 1.5 16V 165cv Aut', 'AnoModelo': 2025, 'Combustivel': 'Gasolina', 'CodigoFipe': '022205-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jdx88dnzvbdyb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE 1.5 16V 165cv Aut.,8969,41,32000 Gasolina,32000-1,32000,Gasolina,1,"{'Valor': 'R$ 186.007,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE 1.5 16V 165cv Aut.', 'AnoModelo': 32000, 'Combustivel': 'Gasolina', 'CodigoFipe': '022181-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kcd3464nbcp', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE 1.5 16V 165cv Aut.,8969,41,2025 Gasolina,2025-1,2025,Gasolina,1,"{'Valor': 'R$ 174.512,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE 1.5 16V 165cv Aut.', 'AnoModelo': 2025, 'Combustivel': 'Gasolina', 'CodigoFipe': '022181-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jxx93dg852dyb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE 1.5 16V 165cv Aut.,8969,41,2024 Gasolina,2024-1,2024,Gasolina,1,"{'Valor': 'R$ 168.541,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE 1.5 16V 165cv Aut.', 'AnoModelo': 2024, 'Combustivel': 'Gasolina', 'CodigoFipe': '022181-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jpx87rk988dt3', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE 1.5 16V 165cv Aut.,8969,41,2023 Gasolina,2023-1,2023,Gasolina,1,"{'Valor': 'R$ 134.836,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE 1.5 16V 165cv Aut.', 'AnoModelo': 2023, 'Combustivel': 'Gasolina', 'CodigoFipe': '022181-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hfd6x69bf4dqw', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE 1.5 16V 165cv Aut.,8969,41,2022 Gasolina,2022-1,2022,Gasolina,1,"{'Valor': 'R$ 130.962,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE 1.5 16V 165cv Aut.', 'AnoModelo': 2022, 'Combustivel': 'Gasolina', 'CodigoFipe': '022181-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g8wdwl0qnndmn', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE 1.5 16V 165cv Aut.,8969,41,2021 Gasolina,2021-1,2021,Gasolina,1,"{'Valor': 'R$ 125.770,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE 1.5 16V 165cv Aut.', 'AnoModelo': 2021, 'Combustivel': 'Gasolina', 'CodigoFipe': '022181-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g2sprzznkxdjf', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE 1.5 16V 165cv Aut.,8969,41,2020 Gasolina,2020-1,2020,Gasolina,1,"{'Valor': 'R$ 119.243,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE 1.5 16V 165cv Aut.', 'AnoModelo': 2020, 'Combustivel': 'Gasolina', 'CodigoFipe': '022181-3', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gt4gflczt4dd6', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE-S 1.5 16V 165cv Aut.,8503,41,32000 Gasolina,32000-1,32000,Gasolina,1,"{'Valor': 'R$ 205.657,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE-S 1.5 16V 165cv Aut.', 'AnoModelo': 32000, 'Combustivel': 'Gasolina', 'CodigoFipe': '022170-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'k3gbxkyt42p', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE-S 1.5 16V 165cv Aut.,8503,41,2025 Gasolina,2025-1,2025,Gasolina,1,"{'Valor': 'R$ 195.477,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE-S 1.5 16V 165cv Aut.', 'AnoModelo': 2025, 'Combustivel': 'Gasolina', 'CodigoFipe': '022170-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kqjbjymc4hdyb', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE-S 1.5 16V 165cv Aut.,8503,41,2024 Gasolina,2024-1,2024,Gasolina,1,"{'Valor': 'R$ 185.785,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE-S 1.5 16V 165cv Aut.', 'AnoModelo': 2024, 'Combustivel': 'Gasolina', 'CodigoFipe': '022170-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'kb410wq2k5dt3', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE-S 1.5 16V 165cv Aut.,8503,41,2023 Gasolina,2023-1,2023,Gasolina,1,"{'Valor': 'R$ 150.448,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE-S 1.5 16V 165cv Aut.', 'AnoModelo': 2023, 'Combustivel': 'Gasolina', 'CodigoFipe': '022170-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'h0qnvjlmcqdqw', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
Eclipse Cross HPE-S 1.5 16V 165cv Aut.,8503,41,2022 Gasolina,2022-1,2022,Gasolina,1,"{'Valor': 'R$ 143.712,00', 'Marca': 'Mitsubishi', 'Modelo': 'Eclipse Cross HPE-S 1.5 16V 165cv Aut.', 'AnoModelo': 2022, 'Combustivel': 'Gasolina', 'CodigoFipe': '022170-8', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hrtt0v6bt2dmn', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 00:48'}"
