nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel,ResultadoTabelaFipe
911 Carrera Cabriolet-4 3.4 Mec.,1958,47,1997 Gasolina,1997-1,1997,Gasolina,1,"{'Valor': 'R$ 134.897,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Cabriolet-4 3.4 Mec.', 'AnoModelo': 1997, 'Combustivel': 'Gasolina', 'CodigoFipe': '035004-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hfhfnw216gnfl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:10'}"
911 Carrera Cabriolet-4 3.4 Mec.,1958,47,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 121.621,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Cabriolet-4 3.4 Mec.', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '035004-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gxxwvrjqhbnbc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:10'}"
911 Carrera Cabriolet-4 3.4 Mec.,1958,47,1995 Gasolina,1995-1,1995,Gasolina,1,"{'Valor': 'R$ 107.464,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Cabriolet-4 3.4 Mec.', 'AnoModelo': 1995, 'Combustivel': 'Gasolina', 'CodigoFipe': '035004-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gdbbcr7mwhm64', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:10'}"
911 Carrera Cabriolet-4 3.4 Mec.,1958,47,1994 Gasolina,1994-1,1994,Gasolina,1,"{'Valor': 'R$ 102.848,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Cabriolet-4 3.4 Mec.', 'AnoModelo': 1994, 'Combustivel': 'Gasolina', 'CodigoFipe': '035004-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'f6xj8h4y41m3x', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:10'}"
911 Carrera Cabriolet-4 3.4 Tiptronic,1959,47,1997 Gasolina,1997-1,1997,Gasolina,1,"{'Valor': 'R$ 166.458,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Cabriolet-4 3.4 Tiptronic', 'AnoModelo': 1997, 'Combustivel': 'Gasolina', 'CodigoFipe': '035018-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'jmhk6qk0w7nfl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:10'}"
911 Carrera Cabriolet-4 3.4 Tiptronic,1959,47,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 135.785,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Cabriolet-4 3.4 Tiptronic', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '035018-4', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'hgjp67h280nbc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:10'}"
911 Carrera Coupe,1960,47,1997 Gasolina,1997-1,1997,Gasolina,1,"{'Valor': 'R$ 129.157,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Coupe', 'AnoModelo': 1997, 'Combustivel': 'Gasolina', 'CodigoFipe': '035001-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'g6rs2yvr9bnfl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:11'}"
911 Carrera Coupe,1960,47,1996 Gasolina,1996-1,1996,Gasolina,1,"{'Valor': 'R$ 116.655,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Coupe', 'AnoModelo': 1996, 'Combustivel': 'Gasolina', 'CodigoFipe': '035001-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'gq3dc53drpnbc', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:11'}"
911 Carrera Coupe,1960,47,1995 Gasolina,1995-1,1995,Gasolina,1,"{'Valor': 'R$ 102.119,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Coupe', 'AnoModelo': 1995, 'Combustivel': 'Gasolina', 'CodigoFipe': '035001-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'f511vyw9v7m64', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:11'}"
911 Carrera Coupe,1960,47,1994 Gasolina,1994-1,1994,Gasolina,1,"{'Valor': 'R$ 99.628,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Coupe', 'AnoModelo': 1994, 'Combustivel': 'Gasolina', 'CodigoFipe': '035001-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'cj0f56gzszwrl', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:11'}"
911 Carrera Coupe,1960,47,1993 Gasolina,1993-1,1993,Gasolina,1,"{'Valor': 'R$ 97.198,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Coupe', 'AnoModelo': 1993, 'Combustivel': 'Gasolina', 'CodigoFipe': '035001-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': 'ch2yy08d27ync', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:11'}"
911 Carrera Coupe,1960,47,1992 Gasolina,1992-1,1992,Gasolina,1,"{'Valor': 'R$ 77.646,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Coupe', 'AnoModelo': 1992, 'Combustivel': 'Gasolina', 'CodigoFipe': '035001-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '8pqdqlylvdj4', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:11'}"
911 Carrera Coupe,1960,47,1991 Gasolina,1991-1,1991,Gasolina,1,"{'Valor': 'R$ 75.752,00', 'Marca': 'Porsche', 'Modelo': '911 Carrera Coupe', 'AnoModelo': 1991, 'Combustivel': 'Gasolina', 'CodigoFipe': '035001-0', 'MesReferencia': 'agosto de 2024 ', 'Autenticacao': '7zhzy4wz6xfx', 'TipoVeiculo': 1, 'SiglaCombustivel': 'G', 'DataConsulta': 'quarta-feira, 28 de agosto de 2024 02:11'}"
